OID,Concentration,concentration_num,PFAS Level,Lat,Long
1,<1.76,1.76,Not Detected,42.86004604,-73.20320412
2,4.1,4.10,< 20 ppt,42.86076213,-73.20281336
3,13.55,13.55,< 20 ppt,42.86303193,-73.20043176
4,40.21,40.21,> 20 ppt,42.86645865,-73.20281564
5,14.4,14.40,< 20 ppt,42.8646562,-73.19942222
6,42.01,42.01,> 20 ppt,42.86566466,-73.20293681
7,13.2,13.20,< 20 ppt,42.86406546,-73.19976342
8,1.95,1.95,< 20 ppt,42.86171574,-73.20388292
9,5.46,5.46,< 20 ppt,42.86286806,-73.20392345
10,20,20.00,> 20 ppt,42.86566515,-73.20374424
11,8.38,8.38,< 20 ppt,42.86425756,-73.20312203
12,13.6,13.60,< 20 ppt,42.86361489,-73.19980999
13,16.37,16.37,< 20 ppt,42.86552727,-73.20096104
14,<1.76,1.76,Not Detected,42.86532988,-73.19925104
15,<1.72,1.72,Not Detected,42.86236,-73.20401049
16,52.55,52.55,> 20 ppt,42.88007151,-73.16565275
17,39.45,39.45,> 20 ppt,42.88080915,-73.16568984
18,17.8,17.80,< 20 ppt,42.8668366,-73.20272394
19,36.1,36.10,> 20 ppt,42.8808993,-73.1669607
20,54.25,54.25,> 20 ppt,42.86690661,-73.20361274
21,43.17,43.17,> 20 ppt,42.88073309,-73.16483146
22,22.08,22.08,> 20 ppt,42.86601656,-73.2007811
23,24.06,24.06,> 20 ppt,42.86604906,-73.20379946
24,47.33,47.33,> 20 ppt,42.8803287,-73.16683027
25,2.54,2.54,< 20 ppt,42.86355298,-73.20404305
26,16.85,16.85,< 20 ppt,42.86240582,-73.1805215
27,41.7,41.70,> 20 ppt,42.87983067,-73.16411859
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
